Sensor 1 | count: 93 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 94 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 95 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 96 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 97 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 98 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 99 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 100 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 101 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 102 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 103 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 104 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 105 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 106 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 107 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 108 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 109 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 110 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 111 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 112 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 113 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 114 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 115 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 116 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 117 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 118 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 119 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 120 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 121 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 122 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 123 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 124 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 125 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 126 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 127 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 128 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 129 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:89
Sensor 1 | count: 130 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:89
Sensor 1 | count: 131 | 11.90°C | LQI: 70 | dbm: -74.00 | short addr: 00:89
