Sensor 1 | count: 29 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 30 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 31 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 32 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 33 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 34 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 35 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 36 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 37 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 38 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 39 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 40 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 41 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 42 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 43 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 44 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 45 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 46 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 47 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 48 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 49 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 50 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 51 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 52 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 53 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 54 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 55 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 56 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 57 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 58 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 59 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:b3
Sensor 1 | count: 60 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 61 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 62 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 63 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 64 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 65 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 66 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 67 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 68 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 69 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 70 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 71 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 72 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
