 Sensor 1 | count: 178 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:11
 Sensor 1 | count: 179 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 180 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 181 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 182 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 183 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 184 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 185 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 186 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 187 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 188 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 189 | 11.90°C | LQI: 28 |dbm: -88.7| short addr: 00:11
 Sensor 1 | count: 190 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 191 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 192 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 193 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 194 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 195 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 196 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 197 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 198 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 199 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 200 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 201 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 202 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 203 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:11
 Sensor 1 | count: 204 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:11
 Sensor 1 | count: 205 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 206 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:11
 Sensor 1 | count: 207 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 208 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 
