 Sensor 1 | count: 96 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
 Sensor 1 | count: 97 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 98 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 99 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 100 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
 Sensor 1 | count: 101 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:90
 Sensor 1 | count: 102 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:90
 Sensor 1 | count: 104 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
 Sensor 1 | count: 105 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 106 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 107 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 108 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
