 Sensor 1 | count: 35 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 36 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:5e
 Sensor 1 | count: 37 | 11.90°C | LQI: 43 |dbm: -83.45| short addr: 00:5e
 Sensor 1 | count: 38 | 11.90°C | LQI: 43 |dbm: -83.45| short addr: 00:5e
 Sensor 1 | count: 39 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 40 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 41 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 42 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 43 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 44 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 45 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:5e
 Sensor 1 | count: 46 | 11.90°C | LQI: 31 |dbm: -87.65| short addr: 00:5e
 Sensor 1 | count: 47 | 11.90°C | LQI: 52 |dbm: -80.3| short addr: 00:5e
 Sensor 1 | count: 48 | 11.90°C | LQI: 37 |dbm: -85.55| short addr: 00:5e
 Sensor 1 | count: 49 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:5e
 Sensor 1 | count: 50 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 51 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 52 | 11.90°C | LQI: 43 |dbm: -83.45| short addr: 00:5e
 Sensor 1 | count: 53 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 54 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 55 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 56 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:5e
 Sensor 1 | count: 57 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 58 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:5e
 Sensor 1 | count: 59 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 60 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 61 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 62 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 63 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 64 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 65 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 66 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 67 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 68 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 69 | 11.90°C | LQI: 61 |dbm: -77.15| short addr: 00:bd
 Sensor 1 | count: 70 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 71 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 72 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 73 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 74 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 75 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 76 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 77 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 78 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 79 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 80 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 81 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 82 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 83 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 84 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 85 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 86 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 87 | 11.90°C | LQI: 49 |dbm: -81.35| short addr: 00:bd
 Sensor 1 | count: 88 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:bd
 Sensor 1 | count: 89 | 11.90°C | LQI: 46 |dbm: -82.4| short addr: 00:bd
 Sensor 1 | count: 90 | 11.90°C | LQI: 61 |dbm: -77.15| short addr: 00:bd
 Sensor 1 | count: 91 | 11.90°C | LQI: 61 |dbm: -77.15| short addr: 00:bd
 Sensor 1 | count: 92 | 11.90°C | LQI: 64 |dbm: -76.1| short addr: 00:bd
 Sensor 1 | count: 93 | 11.90°C | LQI: 61 |dbm: -77.15| short addr: 00:bd
 Sensor 1 | count: 94 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:bd
 Sensor 1 | count: 95 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:bd
 Sensor 1 | count: 96 | 11.90°C | LQI: 34 |dbm: -86.6| short addr: 00:bd
 Sensor 1 | count: 97 | 11.90°C | LQI: 34 |dbm: -86.6| short addr: 00:bd
 Sensor 1 | count: 98 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 99 | 11.90°C | LQI: 55 |dbm: -79.25| short addr: 00:bd
 Sensor 1 | count: 100 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:bd
 Sensor 1 | count: 101 | 11.90°C | LQI: 43 |dbm: -83.45| short addr: 00:bd
 Sensor 1 | count: 102 | 11.90°C | LQI: 58 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 103 | 11.90°C | LQI: 59 |dbm: -78.2| short addr: 00:bd
 Sensor 1 | count: 104 | 11.90°C | LQI: 34 |dbm: -86.6| short addr: 00:bd
 Sensor 1 | count: 105 | 11.90°C | LQI: 40 |dbm: -84.5| short addr: 00:bd


