 Sensor 1 | count: 66 | 11.90°C | LQI: 124 |dbm: -55.1| short addr: 00:8f
 Sensor 1 | count: 67 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 68 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 69 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 70 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 71 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 72 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 73 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 74 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 75 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 76 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 77 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 78 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 79 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 80 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 81 | 11.90°C | LQI: 124 |dbm: -55.1| short addr: 00:8f
 Sensor 1 | count: 82 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 83 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 84 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 85 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 86 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 87 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 88 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 89 | 11.90°C | LQI: 94 |dbm: -65.6| short addr: 00:8f

 Sensor 1 | count: 1 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 2 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 3 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:27
 Sensor 1 | count: 4 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 5 | 20.01°C | LQI: 115 |dbm: -58.25| short addr: 00:27
 Sensor 1 | count: 6 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 7 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 8 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 9 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:27
 Sensor 1 | count: 10 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:27


Sensor 1 | count: 1 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 2 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:27
 Sensor 1 | count: 3 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:27
 Sensor 1 | count: 4 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 5 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 6 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 7 | 20.01°C | LQI: 112 |dbm: -59.3| short addr: 00:27
 Sensor 1 | count: 8 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 9 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:27
 Sensor 1 | count: 10 | 20.01°C | LQI: 94 |dbm: -65.6| short addr: 00:27

Sensor 1 | count: 1 | 20.01°C | LQI: 112 |dbm: -59.3| short addr: 00:27
 Sensor 1 | count: 2 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 3 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 4 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 5 | 20.01°C | LQI: 112 |dbm: -59.3| short addr: 00:27
 Sensor 1 | count: 6 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
 Sensor 1 | count: 7 | 20.01°C | LQI: 112 |dbm: -59.3| short addr: 00:27
 Sensor 1 | count: 8 | 20.01°C | LQI: 112 |dbm: -59.3| short addr: 00:27
 Sensor 1 | count: 9 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:27
 Sensor 1 | count: 10 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:27
