 Sensor 1 | count: 8 | 20.01°C | LQI: 94 |dbm: -65.6| short addr: 00:1e
 Sensor 1 | count: 9 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:1e
 Sensor 1 | count: 10 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:1e

Sensor 1 | count: 2 | 20.01°C | LQI: 94 |dbm: -65.6| short addr: 00:4f
 Sensor 1 | count: 3 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:4f
 Sensor 1 | count: 4 | 20.01°C | LQI: 94 |dbm: -65.6| short addr: 00:4f
 Sensor 1 | count: 5 | 20.01°C | LQI: 88 |dbm: -67.7| short addr: 00:4f
 Sensor 1 | count: 6 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 7 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 8 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 9 | 20.01°C | LQI: 61 |dbm: -77.15| short addr: 00:4f
 Sensor 1 | count: 10 | 20.01°C | LQI: 88 |dbm: -67.7| short addr: 00:4f
 Sensor 1 | count: 11 | 20.01°C | LQI: 82 |dbm: -69.8| short addr: 00:4f



Sensor 1 | count: 1 | 20.01°C | LQI: 82 |dbm: -69.8| short addr: 00:4f
 Sensor 1 | count: 2 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 3 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f
 Sensor 1 | count: 4 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 5 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f
 Sensor 1 | count: 6 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 7 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 8 | 20.01°C | LQI: 73 |dbm: -72.95| short addr: 00:4f
 Sensor 1 | count: 9 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 10 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f

 Sensor 1 | count: 1 | 20.01°C | LQI: 91 |dbm: -66.65| short addr: 00:4f
 Sensor 1 | count: 2 | 20.01°C | LQI: 73 |dbm: -72.95| short addr: 00:4f
 Sensor 1 | count: 3 | 20.01°C | LQI: 61 |dbm: -77.15| short addr: 00:4f
 Sensor 1 | count: 4 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f
 Sensor 1 | count: 5 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 6 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 7 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 8 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 9 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 10 | 20.01°C | LQI: 82 |dbm: -69.8| short addr: 00:4f


Sensor 1 | count: 1 | 20.01°C | LQI: 82 |dbm: -69.8| short addr: 00:4f
 Sensor 1 | count: 2 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 3 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f
 Sensor 1 | count: 4 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 5 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f
 Sensor 1 | count: 6 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 7 | 20.01°C | LQI: 76 |dbm: -71.9| short addr: 00:4f
 Sensor 1 | count: 8 | 20.01°C | LQI: 73 |dbm: -72.95| short addr: 00:4f
 Sensor 1 | count: 9 | 20.01°C | LQI: 79 |dbm: -70.85| short addr: 00:4f
 Sensor 1 | count: 10 | 20.01°C | LQI: 85 |dbm: -68.75| short addr: 00:4f


