Sensor 1 | count: 69 | 11.9°C | LQI: 64 | dBm: -76.1 | short addr: 00:28
Sensor 1 | count: 70 | 11.9°C | LQI: 56 | dBm: -78.9 | short addr: 00:28
Sensor 1 | count: 71 | 11.9°C | LQI: 70 | dBm: -74.0 | short addr: 00:28
Sensor 1 | count: 72 | 11.9°C | LQI: 74 | dBm: -72.6 | short addr: 00:28
Sensor 1 | count: 73 | 11.9°C | LQI: 70 | dBm: -74.0 | short addr: 00:28
Sensor 1 | count: 74 | 11.9°C | LQI: 61 | dBm: -77.15 | short addr: 00:28
Sensor 1 | count: 75 | 11.9°C | LQI: 56 | dBm: -78.9 | short addr: 00:28
Sensor 1 | count: 76 | 11.9°C | LQI: 74 | dBm: -72.6 | short addr: 00:28
Sensor 1 | count: 77 | 11.9°C | LQI: 64 | dBm: -76.1 | short addr: 00:28
Sensor 1 | count: 78 | 11.9°C | LQI: 78 | dBm: -71.2 | short addr: 00:28
Sensor 1 | count: 79 | 11.9°C | LQI: 58 | dBm: -78.2 | short addr: 00:28
Sensor 1 | count: 80 | 11.9°C | LQI: 79 | dBm: -70.85 | short addr: 00:28
Sensor 1 | count: 81 | 11.9°C | LQI: 74 | dBm: -72.6 | short addr: 00:28
Sensor 1 | count: 82 | 11.9°C | LQI: 77 | dBm: -71.55 | short addr: 00:28
Sensor 1 | count: 83 | 11.9°C | LQI: 69 | dBm: -74.35 | short addr: 00:28
Sensor 1 | count: 84 | 11.9°C | LQI: 60 | dBm: -77.5 | short addr: 00:28
Sensor 1 | count: 85 | 11.9°C | LQI: 76 | dBm: -71.9 | short addr: 00:28
Sensor 1 | count: 86 | 11.9°C | LQI: 65 | dBm: -75.75 | short addr: 00:28
Sensor 1 | count: 87 | 11.9°C | LQI: 73 | dBm: -72.95 | short addr: 00:28
Sensor 1 | count: 88 | 11.9°C | LQI: 62 | dBm: -76.8 | short addr: 00:28
Sensor 1 | count: 89 | 11.9°C | LQI: 74 | dBm: -72.6 | short addr: 00:28
Sensor 1 | count: 90 | 11.9°C | LQI: 61 | dBm: -77.15 | short addr: 00:28
Sensor 1 | count: 91 | 11.9°C | LQI: 55 | dBm: -79.25 | short addr: 00:28
Sensor 1 | count: 92 | 11.9°C | LQI: 62 | dBm: -76.8 | short addr: 00:28
Sensor 1 | count: 93 | 11.9°C | LQI: 61 | dBm: -77.15 | short addr: 00:28
Sensor 1 | count: 94 | 11.9°C | LQI: 63 | dBm: -76.45 | short addr: 00:28
Sensor 1 | count: 95 | 11.9°C | LQI: 73 | dBm: -72.95 | short addr: 00:28
Sensor 1 | count: 96 | 11.9°C | LQI: 70 | dBm: -74.0 | short addr: 00:28
Sensor 1 | count: 97 | 11.9°C | LQI: 55 | dBm: -79.25 | short addr: 00:28
Sensor 1 | count: 98 | 11.9°C | LQI: 68 | dBm: -74.7 | short addr: 00:28
Sensor 1 | count: 99 | 11.9°C | LQI: 73 | dBm: -72.95 | short addr: 00:28
Sensor 1 | count: 100 | 11.9°C | LQI: 79 | dBm: -70.85 | short addr: 00:28
Sensor 1 | count: 101 | 11.9°C | LQI: 58 | dBm: -78.2 | short addr: 00:28
Sensor 1 | count: 102 | 11.9°C | LQI: 76 | dBm: -71.9 | short addr: 00:28
